student_id,full_name,email,branch,cgpa,graduation_year,active_backlogs,gender
USN_2025_001,Dr. S. K. Murthy (TPO),tpo@rvce.edu.in,CSE,9.85,2025,0,Male
USN_2025_002,Ankit Verma,ankit.cse21_2@rvce.edu.in,CSE,8.34,2025,1,Male
USN_2025_003,Bhavna Pillai,bhavna.cse21_3@rvce.edu.in,CSE,8.11,2025,0,Female
USN_2025_004,Gaurav Sharma,gaurav.cse21_4@rvce.edu.in,CSE,7.27,2025,1,Male
USN_2025_005,Bhavna Kulkarni,bhavna.cse21_5@rvce.edu.in,CSE,7.37,2025,0,Female
USN_2025_006,Nikhil Deshmukh,nikhil.cse21_6@rvce.edu.in,CSE,6.59,2025,0,Male
USN_2025_007,Rhea Patel,rhea.cse21_7@rvce.edu.in,CSE,7.67,2025,0,Female
USN_2025_008,Suresh Patel,suresh.cse21_8@rvce.edu.in,CSE,8.49,2025,1,Male
USN_2025_009,Rohan Sharma,rohan.cse21_9@rvce.edu.in,CSE,9.55,2025,0,Male
USN_2025_010,Vikram Gupta,vikram.cse21_10@rvce.edu.in,CSE,8.77,2025,0,Male
USN_2025_011,Vikram Gupta,vikram.cse21_11@rvce.edu.in,CSE,8.66,2025,1,Male
USN_2025_012,Rhea Deshmukh,rhea.cse21_12@rvce.edu.in,CSE,9.23,2025,0,Female
USN_2025_013,Manish Hegde,manish.cse21_13@rvce.edu.in,CSE,5.73,2025,0,Male
USN_2025_014,Tanvi Gupta,tanvi.cse21_14@rvce.edu.in,CSE,6.36,2025,0,Female
USN_2025_015,Suresh Patel,suresh.cse21_15@rvce.edu.in,CSE,7.66,2025,0,Male
USN_2025_016,Ankit Iyer,ankit.cse21_16@rvce.edu.in,CSE,8.13,2025,0,Male
USN_2025_017,Divya Menon,divya.cse21_17@rvce.edu.in,CSE,8.49,2025,0,Female
USN_2025_018,Shreya Kulkarni,shreya.cse21_18@rvce.edu.in,CSE,6.48,2025,0,Female
USN_2025_019,Aditya Verma,aditya.cse21_19@rvce.edu.in,CSE,6.02,2025,0,Male
USN_2025_020,Harsh Iyer,harsh.cse21_20@rvce.edu.in,CSE,7.98,2025,0,Male
USN_2025_021,Bhavna Pillai,bhavna.cse21_21@rvce.edu.in,CSE,6.96,2025,0,Female
USN_2025_022,Gaurav Patel,gaurav.cse21_22@rvce.edu.in,CSE,7.62,2025,1,Male
USN_2025_023,Shreya Hegde,shreya.cse21_23@rvce.edu.in,CSE,8.51,2025,0,Female
USN_2025_024,Bhavna Sharma,bhavna.cse21_24@rvce.edu.in,CSE,7.22,2025,1,Female
USN_2025_025,Neha Patel,neha.cse21_25@rvce.edu.in,CSE,8.98,2025,1,Female
USN_2025_026,Varun Deshmukh,varun.cse21_26@rvce.edu.in,CSE,8.37,2025,0,Male
USN_2025_027,Rhea Kulkarni,rhea.cse21_27@rvce.edu.in,CSE,7.97,2025,0,Female
USN_2025_028,Deepak Gupta,deepak.cse21_28@rvce.edu.in,CSE,8.00,2025,0,Male
USN_2025_029,Gaurav Hegde,gaurav.cse21_29@rvce.edu.in,CSE,6.88,2025,0,Male
USN_2025_030,Manish Patel,manish.cse21_30@rvce.edu.in,CSE,7.24,2025,0,Male
USN_2025_031,Karthik Nair,karthik.cse21_31@rvce.edu.in,CSE,8.05,2025,0,Male
USN_2025_032,Deepa Nair,deepa.cse21_32@rvce.edu.in,CSE,5.59,2025,0,Female
USN_2025_033,Meera Menon,meera.cse21_33@rvce.edu.in,CSE,9.33,2025,2,Female
USN_2025_034,Pooja Gupta,pooja.cse21_34@rvce.edu.in,CSE,6.99,2025,3,Female
USN_2025_035,Aarav Kulkarni,aarav.cse21_35@rvce.edu.in,CSE,6.99,2025,0,Male
USN_2025_036,Siddharth Rao,siddharth.cse21_36@rvce.edu.in,CSE,7.73,2025,0,Male
USN_2025_037,Ankit Pillai,ankit.cse21_37@rvce.edu.in,CSE,6.88,2025,0,Male
USN_2025_038,Deepa Reddy,deepa.cse21_38@rvce.edu.in,CSE,8.76,2025,1,Female
USN_2025_039,Varun Sharma,varun.cse21_39@rvce.edu.in,CSE,7.99,2025,0,Male
USN_2025_040,Nandini Deshmukh,nandini.cse21_40@rvce.edu.in,CSE,7.92,2025,1,Female
USN_2025_041,Suresh Patel,suresh.cse21_41@rvce.edu.in,CSE,6.69,2025,0,Male
USN_2025_042,Priya Nair,priya.ise21@rvce.edu.in,ISE,8.12,2025,0,Female
USN_2025_043,Deepa Iyer,deepa.cse21_43@rvce.edu.in,CSE,8.55,2025,0,Female
USN_2025_044,Pranav Kulkarni,pranav.cse21_44@rvce.edu.in,CSE,8.69,2025,0,Male
USN_2025_045,Deepa Kulkarni,deepa.cse21_45@rvce.edu.in,CSE,7.75,2025,0,Female
USN_2025_046,Deepa Reddy,deepa.cse21_46@rvce.edu.in,CSE,7.80,2025,2,Female
USN_2025_047,Varun Menon,varun.cse21_47@rvce.edu.in,CSE,7.00,2025,0,Male
USN_2025_048,Deepak Pillai,deepak.cse21_48@rvce.edu.in,CSE,8.85,2025,0,Male
USN_2025_049,Kavya Verma,kavya.cse21_49@rvce.edu.in,CSE,6.69,2025,0,Female
USN_2025_050,Shreya Deshmukh,shreya.cse21_50@rvce.edu.in,CSE,7.08,2025,0,Female
USN_2025_051,Karthik Menon,karthik.cse21_51@rvce.edu.in,CSE,7.59,2025,0,Male
USN_2025_052,Swati Joshi,swati.cse21_52@rvce.edu.in,CSE,9.08,2025,0,Female
USN_2025_053,Sneha Patel,sneha.cse21_53@rvce.edu.in,CSE,9.02,2025,0,Female
USN_2025_054,Swati Iyer,swati.cse21_54@rvce.edu.in,CSE,6.68,2025,0,Female
USN_2025_055,Suresh Nair,suresh.cse21_55@rvce.edu.in,CSE,8.75,2025,2,Male
USN_2025_056,Shreya Patel,shreya.cse21_56@rvce.edu.in,CSE,8.98,2025,0,Female
USN_2025_057,Bhavna Singh,bhavna.cse21_57@rvce.edu.in,CSE,7.04,2025,0,Female
USN_2025_058,Rohan Reddy,rohan.cse21_58@rvce.edu.in,CSE,7.47,2025,0,Male
USN_2025_059,Nikhil Menon,nikhil.cse21_59@rvce.edu.in,CSE,7.38,2025,0,Male
USN_2025_060,Swati Verma,swati.cse21_60@rvce.edu.in,CSE,7.84,2025,0,Female
USN_2025_061,Deepak Iyer,deepak.cse21_61@rvce.edu.in,CSE,5.64,2025,0,Male
USN_2025_062,Swati Sharma,swati.cse21_62@rvce.edu.in,CSE,8.49,2025,0,Female
USN_2025_063,Nikhil Rao,nikhil.cse21_63@rvce.edu.in,CSE,8.12,2025,0,Male
USN_2025_064,Suresh Verma,suresh.cse21_64@rvce.edu.in,CSE,8.05,2025,0,Male
USN_2025_065,Pooja Reddy,pooja.cse21_65@rvce.edu.in,CSE,8.99,2025,0,Female
USN_2025_066,Harsh Gupta,harsh.cse21_66@rvce.edu.in,CSE,9.73,2025,0,Male
USN_2025_067,Varun Menon,varun.cse21_67@rvce.edu.in,CSE,6.39,2025,0,Male
USN_2025_068,Suresh Deshmukh,suresh.cse21_68@rvce.edu.in,CSE,9.31,2025,0,Male
USN_2025_069,Meera Singh,meera.cse21_69@rvce.edu.in,CSE,8.07,2025,0,Female
USN_2025_070,Nikhil Hegde,nikhil.cse21_70@rvce.edu.in,CSE,7.84,2025,0,Male
USN_2025_071,Ankit Pillai,ankit.cse21_71@rvce.edu.in,CSE,7.91,2025,0,Male
USN_2025_072,Neha Sharma,neha.cse21_72@rvce.edu.in,CSE,9.54,2025,0,Female
USN_2025_073,Gaurav Iyer,gaurav.cse21_73@rvce.edu.in,CSE,9.81,2025,0,Male
USN_2025_074,Pooja Sharma,pooja.cse21_74@rvce.edu.in,CSE,8.13,2025,0,Female
USN_2025_075,Vikram Kulkarni,vikram.cse21_75@rvce.edu.in,CSE,7.69,2025,0,Male
USN_2025_076,Pooja Pillai,pooja.cse21_76@rvce.edu.in,CSE,7.75,2025,0,Female
USN_2025_077,Ankit Patel,ankit.cse21_77@rvce.edu.in,CSE,6.49,2025,0,Male
USN_2025_078,Shreya Deshmukh,shreya.cse21_78@rvce.edu.in,CSE,6.64,2025,2,Female
USN_2025_079,Ankit Iyer,ankit.cse21_79@rvce.edu.in,CSE,7.52,2025,0,Male
USN_2025_080,Pranav Reddy,pranav.cse21_80@rvce.edu.in,CSE,8.27,2025,1,Male
USN_2025_081,Deepak Bhat,deepak.cse21_81@rvce.edu.in,CSE,9.78,2025,0,Male
USN_2025_082,Aditya Deshmukh,aditya.cse21_82@rvce.edu.in,CSE,8.49,2025,0,Male
USN_2025_083,Harsh Deshmukh,harsh.cse21_83@rvce.edu.in,CSE,7.04,2025,0,Male
USN_2025_084,Vikram Nair,vikram.cse21_84@rvce.edu.in,CSE,7.77,2025,0,Male
USN_2025_085,Kavya Hegde,kavya.cse21_85@rvce.edu.in,CSE,6.26,2025,0,Female
USN_2025_086,Ankit Hegde,ankit.cse21_86@rvce.edu.in,CSE,6.23,2025,0,Male
USN_2025_087,Karthik Menon,karthik.cse21_87@rvce.edu.in,CSE,7.84,2025,0,Male
USN_2025_088,Ananya Gupta,ananya.cse21_88@rvce.edu.in,CSE,8.53,2025,0,Female
USN_2025_089,Deepa Deshmukh,deepa.cse21_89@rvce.edu.in,CSE,7.45,2025,0,Female
USN_2025_090,Aditya Iyer,aditya.cse21_90@rvce.edu.in,CSE,8.59,2025,1,Male
USN_2025_091,Manish Nair,manish.cse21_91@rvce.edu.in,CSE,7.92,2025,0,Male
USN_2025_092,Deepak Pillai,deepak.cse21_92@rvce.edu.in,CSE,9.60,2025,0,Male
USN_2025_093,Pooja Singh,pooja.cse21_93@rvce.edu.in,CSE,5.59,2025,0,Female
USN_2025_094,Tanvi Verma,tanvi.cse21_94@rvce.edu.in,CSE,9.34,2025,0,Female
USN_2025_095,Nikhil Rao,nikhil.cse21_95@rvce.edu.in,CSE,9.20,2025,0,Male
USN_2025_096,Meera Hegde,meera.cse21_96@rvce.edu.in,CSE,6.00,2025,1,Female
USN_2025_097,Divya Singh,divya.cse21_97@rvce.edu.in,CSE,8.08,2025,0,Female
USN_2025_098,Swati Nair,swati.cse21_98@rvce.edu.in,CSE,7.84,2025,0,Female
USN_2025_099,Divya Hegde,divya.cse21_99@rvce.edu.in,CSE,8.92,2025,0,Female
USN_2025_100,Nikhil Verma,nikhil.cse21_100@rvce.edu.in,CSE,7.00,2025,0,Male
USN_2025_101,Rohan Hegde,rohan.cse21_101@rvce.edu.in,CSE,5.83,2025,0,Male
USN_2025_102,Siddharth Verma,siddharth.cse21_102@rvce.edu.in,CSE,7.62,2025,0,Male
USN_2025_103,Siddharth Verma,siddharth.cse21_103@rvce.edu.in,CSE,8.75,2025,0,Male
USN_2025_104,Nikhil Reddy,nikhil.cse21_104@rvce.edu.in,CSE,7.78,2025,0,Male
USN_2025_105,Meera Hegde,meera.cse21_105@rvce.edu.in,CSE,7.80,2025,0,Female
USN_2025_106,Karthik Gupta,karthik.cse21_106@rvce.edu.in,CSE,8.31,2025,0,Male
USN_2025_107,Vikram Menon,vikram.cse21_107@rvce.edu.in,CSE,7.45,2025,0,Male
USN_2025_108,Rahul Verma,rahul.cse21@rvce.edu.in,CSE,7.65,2025,0,Male
USN_2025_109,Divya Sharma,divya.cse21_109@rvce.edu.in,CSE,7.82,2025,1,Female
